2020-9-29-19-13-48 : foodHitCount = 30 out of 129 ;  foodHitCellPos = (2 , 13) ; idxToErase = 86 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-49 : foodHitCount = 31 out of 129 ;  foodHitCellPos = (3 , 13) ; idxToErase = 86 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-49 : foodHitCount = 32 out of 129 ;  foodHitCellPos = (3 , 12) ; idxToErase = 81 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-50 : foodHitCount = 33 out of 129 ;  foodHitCellPos = (3 , 11) ; idxToErase = 70 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-50 : foodHitCount = 33 out of 129 ;  foodHitCellPos = (3 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-51 : foodHitCount = 34 out of 129 ;  foodHitCellPos = (4 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-52 : foodHitCount = 35 out of 129 ;  foodHitCellPos = (5 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-52 : foodHitCount = 36 out of 129 ;  foodHitCellPos = (6 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-53 : foodHitCount = 37 out of 129 ;  foodHitCellPos = (7 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-58 : foodHitCount = 38 out of 129 ;  foodHitCellPos = (5 , 12) ; idxToErase = 76 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-13-59 : foodHitCount = 39 out of 129 ;  foodHitCellPos = (5 , 13) ; idxToErase = 79 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-0 : foodHitCount = 40 out of 129 ;  foodHitCellPos = (6 , 13) ; idxToErase = 79 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-0 : foodHitCount = 41 out of 129 ;  foodHitCellPos = (7 , 13) ; idxToErase = 79 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-1 : foodHitCount = 42 out of 129 ;  foodHitCellPos = (8 , 13) ; idxToErase = 79 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-2 : foodHitCount = 43 out of 129 ;  foodHitCellPos = (9 , 13) ; idxToErase = 79 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-3 : foodHitCount = 44 out of 129 ;  foodHitCellPos = (9 , 12) ; idxToErase = 76 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-3 : foodHitCount = 45 out of 129 ;  foodHitCellPos = (9 , 11) ; idxToErase = 70 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-4 : foodHitCount = 46 out of 129 ;  foodHitCellPos = (9 , 10) ; idxToErase = 68 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-5 : foodHitCount = 47 out of 129 ;  foodHitCellPos = (9 , 9) ; idxToErase = 62 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-5 : foodHitCount = 48 out of 129 ;  foodHitCellPos = (8 , 9) ; idxToErase = 61 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-6 : foodHitCount = 49 out of 129 ;  foodHitCellPos = (7 , 9) ; idxToErase = 60 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-7 : foodHitCount = 50 out of 129 ;  foodHitCellPos = (6 , 9) ; idxToErase = 59 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-8 : foodHitCount = 51 out of 129 ;  foodHitCellPos = (5 , 9) ; idxToErase = 58 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-8 : foodHitCount = 52 out of 129 ;  foodHitCellPos = (5 , 8) ; idxToErase = 52 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-9 : foodHitCount = 53 out of 129 ;  foodHitCellPos = (5 , 7) ; idxToErase = 43 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-10 : foodHitCount = 54 out of 129 ;  foodHitCellPos = (4 , 7) ; idxToErase = 42 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-11 : foodHitCount = 55 out of 129 ;  foodHitCellPos = (3 , 7) ; idxToErase = 41 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-11 : foodHitCount = 56 out of 129 ;  foodHitCellPos = (3 , 8) ; idxToErase = 48 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-12 : foodHitCount = 57 out of 129 ;  foodHitCellPos = (3 , 9) ; idxToErase = 52 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-14-12 : foodHitCount = 58 out of 129 ;  foodHitCellPos = (2 , 9) ; idxToErase = 51 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-15-14 : foodHitCount = 59 out of 129 ;  foodHitCellPos = (2 , 7) ; idxToErase = 40 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-15-15 : foodHitCount = 60 out of 129 ;  foodHitCellPos = (1 , 7) ; idxToErase = 39 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-15-22 : foodHitCount = 61 out of 129 ;  foodHitCellPos = (5 , 6) ; idxToErase = 36 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-15-23 : foodHitCount = 62 out of 129 ;  foodHitCellPos = (5 , 5) ; idxToErase = 29 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-15-23 : foodHitCount = 63 out of 129 ;  foodHitCellPos = (4 , 5) ; idxToErase = 28 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
